metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,2.427055193971222,0.0006794063373729513,4.615929712625285e-07,2.427079236148761,2.425237500336344,2.428926614409342
mean_lateral_error_m,2.2341164911996487,0.02225450161705745,0.0004952628422236126,2.231629777624836,2.194804756113854,2.29890512695481
mean_lateral_rmse_m,3.497283405457011,0.03128387851806926,0.0009786810551333154,3.4939261816598823,3.441116480115056,3.5872760213917565
mean_maximum_path_deviation_m,8.58240236804145,0.043077140954339725,0.001855640072800053,8.580352991875769,8.49037072765159,8.686259111806802
maximum_path_deviation_m,8.899412590794835,0.03862014293401537,0.001491515440243777,8.897535933361818,8.815104443409764,8.991019044903215
mean_trajectory_elongation_index,1.1405610260750287,0.002764829166125408,7.64428031785772e-06,1.1400514778863224,1.136674594987321,1.1490501385284286
total_uavs,2.0,0.0,0.0,2.0,2.0,2.0
uavs_considered_in_metrics,2.0,0.0,0.0,2.0,2.0,2.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
