metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,4.267763021358514,0.08531398323503991,0.0072784757354286715,4.289244427372386,4.025071762666936,4.400501328393295
mean_lateral_error_m,1.6303921639789376,0.06538413096774474,0.004275084582407196,1.6435022152962533,1.4614526111610675,1.742754789601815
mean_lateral_rmse_m,2.5093226195848293,0.08714660183908195,0.007594530212099481,2.5127086083655366,2.3213100372218527,2.657782769936272
mean_maximum_path_deviation_m,5.782935382451193,0.23982756255176568,0.05751725975952108,5.809817797835517,5.292151128848199,6.337776151385908
maximum_path_deviation_m,8.340470403168263,0.6357833955416868,0.404220526046517,8.595539433433832,7.121401103364359,9.41023683550117
mean_trajectory_elongation_index,1.2112595243494997,0.03331302957679252,0.0011097579395842531,1.1945497099876372,1.1782898739613552,1.30619149243872
total_uavs,4.0,0.0,0.0,4.0,4.0,4.0
uavs_considered_in_metrics,4.0,0.0,0.0,4.0,4.0,4.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
