metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,5.663736213539468,0.24406580578330847,0.059568117552655654,5.689845402775944,5.160309116521481,6.213500007987045
mean_lateral_error_m,0.6291516850867012,0.01233207018671098,0.00015207995508996578,0.6269187591956357,0.6083641051260462,0.6718864088506075
mean_lateral_rmse_m,1.3417448782143089,0.018376966132824704,0.0003377128842469861,1.3429006375517618,1.3063190687986974,1.3921985121262126
mean_maximum_path_deviation_m,3.897998957385367,0.029880934989057705,0.000892870275820293,3.8946083080309917,3.821318006489383,3.9620275586647455
maximum_path_deviation_m,3.9408867424090386,0.044623695443675164,0.001991274195049876,3.9346172988452626,3.829207992791565,4.073527811694207
mean_trajectory_elongation_index,1.0733503552565127,0.0008510496714815531,7.242855433288593e-07,1.0733271754073348,1.072116837773045,1.0754039916013327
total_uavs,2.0,0.0,0.0,2.0,2.0,2.0
uavs_considered_in_metrics,2.0,0.0,0.0,2.0,2.0,2.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
