metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,5.663025643630164,0.24398530502670995,0.05952882906897669,5.686359220632548,5.129453470060326,6.218260831275833
mean_lateral_error_m,0.6288438956298106,0.012191655673956105,0.0001486364680723061,0.6257164440108831,0.6094891432052751,0.6714102105695088
mean_lateral_rmse_m,1.3413993959323722,0.018117311600409546,0.00032823697962633435,1.3420930230259858,1.3077352619543945,1.39212630256219
mean_maximum_path_deviation_m,3.8976170270829997,0.02976654763803953,0.0008860473582876767,3.8945669080528744,3.821188806967251,3.962142447285189
maximum_path_deviation_m,3.940445837270639,0.04445941584104014,0.001976639656926531,3.9345880605905013,3.8308697813965313,4.076335046083996
mean_trajectory_elongation_index,1.0732865441967556,0.0008742069972504581,7.642378740416624e-07,1.0731888655369954,1.071955462582515,1.0755054579919523
total_uavs,2.0,0.0,0.0,2.0,2.0,2.0
uavs_considered_in_metrics,2.0,0.0,0.0,2.0,2.0,2.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
