metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,4.464991884711522,0.43792589000656135,0.19177908513803887,4.548457742673895,2.585223479294456,5.015384806508829
mean_lateral_error_m,2.8473772061430487,0.17293155888816272,0.029905324059490094,2.83008166249623,2.484874025176908,3.210564162540565
mean_lateral_rmse_m,3.6785668468419237,0.18123915735576296,0.03284763215902701,3.6590113008593805,3.3647783766040886,4.079459155186157
mean_maximum_path_deviation_m,6.810386853125697,0.2598920619289944,0.06754388385370426,6.7398171728897545,6.290744437299328,7.492077217669776
maximum_path_deviation_m,8.655783385060932,0.4860799849749915,0.23627375179328794,8.602955769493416,7.521797732349865,9.696318781809428
mean_trajectory_elongation_index,1.3978908817412634,0.04990207550170981,0.0024902171393783464,1.3953168465073067,1.3040634834083502,1.5240326874319825
total_uavs,10.0,0.0,0.0,10.0,10.0,10.0
uavs_considered_in_metrics,10.0,0.0,0.0,10.0,10.0,10.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
