metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,3.8144779733134686,0.8188220756966538,0.6704695916481765,4.157446657713386,2.230688415336408,4.997162117375459
mean_lateral_error_m,2.679644272433964,0.15423876267876258,0.023789595912675644,2.6793691997818128,2.165670461263289,3.041907173231304
mean_lateral_rmse_m,3.513037171013668,0.1456169654206958,0.021204300618332117,3.5231380090441693,3.0187273901981078,3.843479882507425
mean_maximum_path_deviation_m,6.510083434217572,0.21979357597939111,0.04830921604180837,6.508027860009643,6.000380545348039,7.055158466755495
maximum_path_deviation_m,8.998033151690214,0.4599950098787995,0.21159540911339686,9.011804824810614,8.123401463204944,9.931787303669594
mean_trajectory_elongation_index,1.3437985837091626,0.0245419559446798,0.0006023076015906042,1.3438532862776844,1.3018264547311342,1.4055082351693933
total_uavs,10.0,0.0,0.0,10.0,10.0,10.0
uavs_considered_in_metrics,10.0,0.0,0.0,10.0,10.0,10.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
