metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,9.999928936047246,0.00888799710967932,7.899649262166793e-05,9.99955178770525,9.979080027668262,10.02349425080901
mean_lateral_error_m,0.029717861292428913,0.002409640916829236,5.806369348057642e-06,0.0296553171579364,0.0246858017282393,0.0361279221804813
mean_lateral_rmse_m,0.06153198011197799,0.004745421530543465,2.251902550254548e-05,0.061643340190509904,0.0507399567905595,0.0773035607157742
mean_maximum_path_deviation_m,0.2891850464755712,0.025344180053822284,0.0006423274626005633,0.2873844003082322,0.2224093574661584,0.3708208140519586
maximum_path_deviation_m,0.329109827482279,0.035040920697535435,0.0012278661233309672,0.3278360834465567,0.2511920987114999,0.4306848846916245
mean_trajectory_elongation_index,1.070921540760476,0.0004951939280840124,2.45217026411274e-07,1.070917833174562,1.0696572410352974,1.0722476051840797
total_uavs,4.0,0.0,0.0,4.0,4.0,4.0
uavs_considered_in_metrics,3.0,0.0,0.0,3.0,3.0,3.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
