metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,5.128329717834191,0.4249376957111462,0.18057204523629866,5.134356932120571,4.095676863190394,5.85099895223234
mean_lateral_error_m,3.7876576487611264,0.3201092658134003,0.1024699420595942,3.713078218978729,3.2193055315427905,4.307862067127138
mean_lateral_rmse_m,5.009525139054775,0.2583508105405415,0.06674514130695476,4.943990962134963,4.532295696389703,5.439136933711291
mean_maximum_path_deviation_m,8.768143350585587,0.2273721975237299,0.05169811620677004,8.735219279715412,8.282666981229552,9.15366425413602
maximum_path_deviation_m,9.945630383726446,0.27123255579193556,0.07356709932142542,9.992760187542068,9.271733179709852,10.508582613447295
mean_trajectory_elongation_index,1.4986864328435707,0.06295823482630584,0.003963739332444271,1.4918368457518265,1.3868647770690825,1.6709647983506897
total_uavs,10.0,0.0,0.0,10.0,10.0,10.0
uavs_considered_in_metrics,10.0,0.0,0.0,10.0,10.0,10.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
