metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,11.207125640457889,0.007490203646219602,5.6103150661841416e-05,11.207483096755258,11.19102308520445,11.23029558939986
mean_lateral_error_m,0.48387726402057796,0.0024571010170538797,6.037345408007209e-06,0.48345860174181554,0.4791149585157815,0.4913282788892625
mean_lateral_rmse_m,0.8031900277033546,0.00891780565374462,7.952725767795952e-05,0.8027560838249956,0.7875773514055617,0.825094881131528
mean_maximum_path_deviation_m,2.194994000632233,0.04690658677518349,0.0022002278828978186,2.198834327803859,2.075938264877012,2.288064816780622
maximum_path_deviation_m,4.389988001264466,0.09381317355036702,0.008800911531591281,4.397668655607719,4.151876529754023,4.576129633561244
mean_trajectory_elongation_index,1.0425740302306927,0.0010751381881211701,1.1559221235564724e-06,1.0425668156995656,1.040557900869378,1.0459431938388373
total_uavs,3.0,0.0,0.0,3.0,3.0,3.0
uavs_considered_in_metrics,2.0,0.0,0.0,2.0,2.0,2.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
