metric,mean,std,var,median,min,max
minimum_inter_uav_distance_m,7.7834208042979345,0.11594621126994598,0.013443523907854948,7.773219381081699,7.58627790092823,7.941985733155113
mean_lateral_error_m,1.323680590347094,0.0031363068306770846,9.83642053615174e-06,1.3229180974082828,1.3181479234531606,1.3321373999604225
mean_lateral_rmse_m,2.1211741234641597,0.00551328290543722,3.039628839538628e-05,2.1216554813821293,2.105397551554042,2.1320635595335835
mean_maximum_path_deviation_m,6.068594450788362,0.05380785158827497,0.002895284892545825,6.063078437256128,5.930894794087055,6.183874557751575
maximum_path_deviation_m,7.762481210038528,0.006397872987676082,4.093277876643528e-05,7.7630589816670845,7.745591912753871,7.778169042022901
mean_trajectory_elongation_index,1.0719838932969232,0.0016535223057679558,2.7341360156721775e-06,1.0719493254085388,1.068291516266756,1.0756519037857524
total_uavs,3.0,0.0,0.0,3.0,3.0,3.0
uavs_considered_in_metrics,3.0,0.0,0.0,3.0,3.0,3.0
success_rate,1.0,,,,,
collision_rate,0.0,,,,,
